name, id
"New Releases", 0JQ5DAqbMKFz6FAsUtgAab
"Pop", 0JQ5DAqbMKFEC4WFtoNRpw
"Hip-Hop", 0JQ5DAqbMKFQ00XGBls6ym
"Dance/Electronic", 0JQ5DAqbMKFHOzuVTgTizF
"Latin", 0JQ5DAqbMKFxXaXKP7zcDp
"Charts", 0JQ5DAudkNjCgYMM0TZXDw
"Rock", 0JQ5DAqbMKFDXXwE9BDJAr
"Mood", 0JQ5DAqbMKFzHmL4tf05da
"Indie", 0JQ5DAqbMKFCWjUTdzaG0e
"Discover", 0JQ5DAtOnAEpjOgUKwXyxj
"Country", 0JQ5DAqbMKFKLfwjuJMoNC
"R&B", 0JQ5DAqbMKFEZPnFQSFB1T
"K-pop", 0JQ5DAqbMKFGvOw3O4nLAf
"Chill", 0JQ5DAqbMKFFzDl7qN9Apr
"Sleep", 0JQ5DAqbMKFCuoRTxhYWow
"Party", 0JQ5DAqbMKFA6SOHvT3gck
"At Home", 0JQ5DAqbMKFx0uLQR2okcc
"Decades", 0JQ5DAqbMKFIVNxQgRNSg0
"Love", 0JQ5DAqbMKFAUsdyVjCQuL
"Metal", 0JQ5DAqbMKFDkd668ypn6O
"Jazz", 0JQ5DAqbMKFAJ5xb0fwo9m
"Trending", 0JQ5DAqbMKFQIL0AXnG5AK
"Classical", 0JQ5DAqbMKFPrEiAOxgac3
"Folk & Acoustic", 0JQ5DAqbMKFy78wprEpAjl
"Focus", 0JQ5DAqbMKFCbimwdOYlsl
"Soul", 0JQ5DAqbMKFIpEuaCnimBj
"Kids & Family", 0JQ5DAqbMKFFoimhOqWzLB
"Anime", 0JQ5DAqbMKFziKOShCi009
"TV & Movies", 0JQ5DAqbMKFOzQeOmemkuw
"Instrumental", 0JQ5DAqbMKFRieVZLLoo9m
"Wellness", 0JQ5DAqbMKFLb2EqgLtpjC
"Punk", 0JQ5DAqbMKFAjfauKLOZiv
"Ambient", 0JQ5DAqbMKFLjmiZRss79w
"Blues", 0JQ5DAqbMKFQiK2EHwyjcU
"Alternative", 0JQ5DAqbMKFFtlLYUHv8bT
"Travel", 0JQ5DAqbMKFAQy4HL4XU2D
"Caribbean", 0JQ5DAqbMKFObNLOHydSW8
"Afro", 0JQ5DAqbMKFNQ0fGp4byGU
"Nature & Noise", 0JQ5DAqbMKFI3pNLtYMD9S
"Funk & Disco", 0JQ5DAqbMKFFsW9N8maB6z
"Spotify Singles", 0JQ5DAqbMKFDBgllo2cUIN
"EQUAL", 0JQ5DAqbMKFPw634sFwguI
"Summer", 0JQ5DAqbMKFLVaM30PMBm4
"Tamil", 0JQ5DAqbMKFE33XAyDiPIr
